side effects,visiting overseas,variant,different vaccines,government policy,vaccine appointment,school/education
접종,시기,나오다,국내,접종,시기,접종
화이자,대한민국,접종,아스트라제네카,코로나,접종,대한민국
코로나,우선순위,코로나,모더나,국내,아스트라제네카,시기
대한민국,접종,19,화이자,부작용,코로나,우선순위
순서,국내,예방,접종,대한민국,선택,나이
국내,나이,얀센,예방,19,국내,횟수
시기,횟수,아래,효과,이상,잔여,순서
나이,방법,정부,시기,전,순서,코로나
zero,이다,같다,임상,개발,방법,부작용
부작용,국민,안내,부작용,안내,개발,국민
국민,효과,부작용,맞다,예약,우선순위,국내
전,대상,효과,횟수,주의,부작용,맞다
맞다,개발,맞다,나이,방법,탭,화이자
바이러스,순서,선택,우선순위,화이자,나이,대상
세계,아스트라제네카,보다,시작,국민,대한민국,방법
시작,모더나,아스트라제네카,순서,AZ,예약,예방
이후,화이자,좋다,대한민국,미만,쇼,세계
예방,임상시험,대하다,개발,사항,과정,면역
대상,임신부,AZ,치료제,시기,카카오,개발
완료,부작용,받다,국민,대상,요,임상시험
개발,과정,한국,공급,아스트라제네카,종자,임신부
미만,맞다,국내,예약,상관없다,횟수,효과
사람,코로나,혈전,확인,과정,미만,zero
예약,전,방법,러시아,시작됬습니다,조회,미만
종식,포함,후,실험,이다,n,분기
19,zero,시기,전,참고,임신부,치료제
분기,질병,화이자,후,zero,화이자,감염
여권,미만,사람,생산,세계,임상시험,바이러스
이다,연구,니다,과정,시작,카카오톡,전
증상,예약,영국,걸리다,포함,얀센,예약
출국,임상,사망,임상시험,임신부,네이버,걸리다
청소년,실험,경우,임신부,사전,미접,시작
내년,치료제,사전,내년,임상시험,검색,19
올해,시작,관련,정도,나이,이다,따르다
어떻다,잔여,주의,좋다,맞다,많다,소아
면제,예방,순서,방법,예방,예방,니다
사항,예상,신청,나오다,소아,병원,올해
종사자,청소년,대한민국,같다,분기,https,그러다
증명서,면역,사항,영국,괜찮다,노,만들다
확진,소아,우선순위,따르다,오늘,19,그렇다
방법,이후,증상,대상,횟수,대상,요
중국,세포,국민,만들다,바이러스,확진,이다
나오다,분기,이다,경우,순서,알아보다,걱정
후,반응,사례,관련,얀센,기관,포함
나라,단백질,예약,잔여,사람과,분기,증상
해외,어렵다,나이,코로나,반응,본인,청소년
모르다,확인,https,참고,청소년,포함,종식
우리나라,세계,반응,그렇다,우선순위,당일,생활
그러다,높다,개발,들다,출처,의료,선택
요,정도,횟수,사용,음주,진행,성인
